Rule ID,Rule Name,Category,Description,Example,Points,Auto-Fail
STRUCT-001,Overview Section Present,Structure,"The document must contain a clearly labeled overview or introduction section within the first two sections that describes what the documented system or API does.","""## Overview\nThis library provides a REST API for managing user accounts.""",5,No
STRUCT-002,Table of Contents,Structure,"Documents with more than five sections must include a table of contents with links to each section heading.","""## Table of Contents\n- [Overview](#overview)\n- [Installation](#installation)""",3,No
STRUCT-003,Consistent Heading Hierarchy,Structure,"Headings must follow a consistent hierarchy (H1 > H2 > H3). No skipped levels (e.g., H1 directly to H3).","""# Title\n## Section\n### Subsection"" is correct. ""# Title\n### Subsection"" is not.",3,No
COMP-001,All Parameters Documented,Completeness,"Every public API endpoint or function must have all its parameters documented with name, type, and description.","A function with parameters (name: str, age: int) must document both parameters.",5,No
COMP-002,Return Values Described,Completeness,"Every documented function or endpoint must describe its return value, including type and meaning.","Returns: dict — A dictionary containing the user profile with keys 'name', 'email', and 'role'.",5,No
COMP-003,Error Handling Documented,Completeness,"The document must describe error cases, including error codes or exception types and their meanings.","Raises ValueError if the input is negative. Returns 404 if the resource is not found.",4,No
COMP-004,Authentication Documented,Completeness,"If the API requires authentication, the document must describe the authentication method, required headers, and token format.","Include an Authorization header with a Bearer token: Authorization: Bearer <token>.",4,No
CODE-001,Code Examples Present,Code Quality,"The document must include at least one runnable code example demonstrating basic usage.","```python\nimport mylib\nresult = mylib.process(data)\nprint(result)\n```",5,No
CODE-002,Examples Are Syntactically Valid,Code Quality,"All code examples must be syntactically valid in their stated language. Pseudocode must be explicitly labeled as such.","Unlabeled pseudocode like 'do_thing(x) -> result' without language specification fails this rule.",4,No
CODE-003,Examples Match Current API,Code Quality,"Code examples must use the current API surface. Deprecated methods, removed parameters, or old endpoints cause a failure.","Using v1/users when the current API is v2/users fails this rule.",4,No
ACC-001,Version Numbers Current,Accuracy,"All version numbers mentioned in the document must match the current release. Stale version references fail.","Referring to v2.1.0 when the current version is v3.0.0 fails.",3,No
ACC-002,Links Resolve,Accuracy,"All internal and external links must resolve. Broken links fail. Placeholder links (e.g., example.com) are acceptable only if explicitly labeled.","[API Reference](/api) must link to an existing page.",3,No
COMPL-001,License Section Present,Compliance,"The document must include a license section or link to the project license file.","## License\nThis project is licensed under the Apache 2.0 License.",2,No
COMPL-002,Changelog for Breaking Changes,Compliance,"Any breaking change must have a corresponding changelog entry. Missing changelog entries for breaking changes are an auto-fail.","## Changelog\n### v3.0.0\n- BREAKING: Removed legacy /v1 endpoints.",5,Yes
COMPL-003,Deprecation Notices,Compliance,"Deprecated features must be explicitly marked with a deprecation notice including the version when deprecation occurred and the recommended replacement.",".. deprecated:: 2.0\n   Use `new_function()` instead.",3,No
